"id","label","rank","x","y"
50558,"Kaudos",70,24.060,34.860
50559,"Athos Mons",60,24.220,40.260
50562,"Geraistos",70,24.550,37.980
50564,"Thasos",80,24.710,40.780
50567,"Kardamis",70,25.040,31.920
50568,"Petras Megas",70,25.090,31.750
50569,"Hephaistia",70,25.235,39.932
50572,"Rheneia",0,37.42,25.21
50573,"Delos",70,25.270,37.400
50577,"Chersonasos",80,25.390,35.320
50582,"Kadiston Mons",60,25.770,35.340
50586,"Tenedos",60,26.051,39.817
50588,"Chios",80,26.140,38.370
50590,"Sigeion",70,26.200,40.010
50592,"Mytilene",80,26.310,39.210
50593,"Astypaleia",60,26.350,36.550
50594,"Sestus",80,26.417,40.228
50597,"Samos",80,26.940,37.690
50598,"Trogilion Pr.",60,27.020,37.670
50599,"Parium",70,27.069,40.420
50602,"Potidaion",70,27.210,35.510
50603,"Myndos",70,27.240,37.080
50604,"Kos",70,27.290,36.890
50606,"Cnidus",80,27.370,36.690
50608,"Halicarnassus",80,27.430,37.040
50609,"Proconnesus",60,27.556,40.592
50610,"Bargylia",80,27.590,37.190
50611,"Apollonia Pontica",80,27.696,42.417
50612,"Cyzicus",90,27.892,40.381
50613,"Rhodos",80,28.230,36.440
50614,"Caunus",80,28.630,36.830
50617,"Mouth of Pontus",60,29.124,41.212
50618,"Salsovia",70,29.124,45.066
50619,"Prusias",80,29.156,40.432
50620,"Tyras",80,30.351,46.201
50621,"Olbia (Borysthenes)",90,31.902,46.692
50622,"Akamas Pr.",60,32.280,35.110
50623,"Kalos Limen",80,32.703,45.521
50624,"Anemurium",60,32.800,36.020
50625,"Amathous",80,33.130,34.710
50626,"Karambis Pr.",60,33.370,42.014
50627,"Chersonesos",90,33.493,44.612
50628,"Lapethos",80,33.173,35.330
50630,"Pedalion Pr.",60,34.080,34.960
50631,"Corycus",80,34.150,36.460
50632,"Cinolis",60,34.164,41.963
50634,"Kleides Pr.",60,34.590,35.700
50636,"Ioppe",60,34.751,32.055
50637,"Apollonia",80,34.816,32.213
50639,"Sinope",90,35.042,42.049
50641,"Theodosia",80,35.379,45.046
50642,"Pyramos (river)",60,35.560,36.570
50643,"Byblos",80,35.640,34.120
50644,"Myriandros",80,36.190,36.590
50646,"Pantikapaion",90,36.414,45.239
50647,"Themiskyra",70,36.968,41.215
50648,"Gorgippia",80,37.310,44.892
50649,"Kotyora",70,37.875,41.000
50650,"Tanais",80,39.258,47.268
50651,"Dioscurias",90,41.003,42.993
50652,"Phasis",80,41.667,42.150
50654,"Raphia",80,34.252,31.289
50658,"Azotus Paralios",80,34.650,31.800
50660,"Apollonopolis Magna",80,32.875,24.983
50661,"Krokodilopolis",80,30.839,29.317
50674,"Latopolis",80,32.553,25.295
50677,"Mons Porphyrites",60,33.347,27.208
50678,"Mothis",80,28.949,25.509
50682,"Ammon",80,25.544,29.205
50690,"Oasis Parva",80,28.855,28.338
50700,"Qasr Farafra",60,27.932,27.044
50713,"Malaca",80,-4.422,36.715
50714,"Panormus",90,13.318,38.117
50715,"Agrigentum",80,13.582,37.309
50716,"Aleria",80,9.526,42.124
50717,"Demetrias",90,22.917,39.303
50718,"Amphipolis",90,23.837,40.814
50719,"Tripolis",90,35.850,34.431
50720,"Forum Appii",60,13.041,41.437
50721,"x",6,-8.714,39.210
50725,"Neapolis (Thrace)",80,24.468,40.950
50726,"x",6,-8.673,39.219
50727,"x",6,-6.114,38.965
50730,"x",6,-2.811,52.089
50731,"x",6,19.148,44.288
50732,"x",6,17.887,43.136
50733,"x",6,18.365,42.793
50735,"x",6,22.977,45.584
50736,"x",6,17.891,45.404
50737,"x",6,18.488,45.279
50738,"x",6,15.391,46.360
50739,"x",6,30.612,38.330
50741,"Krane",80,20.568,38.224
50742,"Horreum Margi",70,21.390,43.933
50743,"Boiodurum",60,13.454,48.574
50744,"Toletum",80,-4.024,39.857
50745,"x",6,-7.681,37.942
50746,"x",6,12.161,45.421
50747,"x",6,13.128,46.371
50748,"x",6,19.023,47.438
50749,"x",6,19.633,42.011
50750,"x",6,19.657,41.078
50751,"x",6,25.860,42.071
50752,"x",6,7.882,49.958
50753,"x",6,15.694,44.366
50754,"x",6,11.625,44.821
50755,"Selinous",70,23.685,39.140
50756,"Palma",80,2.650,39.567
50757,"x",6,23.499,46.021
50758,"Samonion Pr.",60,26.254,35.281
50759,"Mouth of Witham",6,0.005,52.964
50760,"x",6,36.110,32.625
50761,"Populonium",80,10.496,42.996
50762,"Palinurus Pr.",60,14.932,40.255
50763,"x",6,11.644,46.783
50764,"x",6,9.538,45.130
50765,"x",6,10.390,43.805
50766,"x",6,36.323,35.825
50767,"x",6,36.344,36.254
50768,"x",6,17.626,47.688
50769,"x",6,27.960,44.699
50770,"x",6,28.551,44.409
50771,"x",6,36.763,35.274
50772,"x",6,9.130,45.024
50773,"x",6,9.561,45.175
50774,"x",6,2.024,46.081
50775,"Nisyros",70,27.172,36.588
50776,"Amorgos",70,25.900,36.830
50777,"Anaphe",70,25.854,36.350
50778,"Andros",70,24.933,37.833
50779,"Ceos",70,24.333,37.617
50780,"Corseae",70,26.500,37.566
50781,"Cythnos",70,24.416,37.383
50782,"Donousa",70,25.8,37.1
50783,"Icaros",70,26.059,37.622
50784,"Imbros",70,25.844,40.161
50785,"Ios",70,25.333,36.717
50786,"Kerea",0,25.75,36.75
50787,"Kimolos",70,24.550,36.800
50788,"Kinaros",70,26.289,36.980
50789,"Lebinthos",0,26.459,37.005
50790,"Leros",0,23.625,37.875
50791,"Miletus",70,27.276,37.531
50792,"Mykonos",0,25.37,37.44
50793,"Naxos",70,25.378,37.103
50795,"Patmos",70,26.558,37.316
50796,"Skyllaion Pr.",70,23.518,37.438
50797,"Siphnos",70,24.667,36.983
50798,"Syros",70,24.920,37.430
50799,"Telos",70,27.366,36.433
50800,"Tenos",70,25.166,37.533
50801,"Thera",70,25.433,36.417
